Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,CPSC,301,,101,Computing in the Life Sciences,Angela Chang;Angela Yu-Hsuan Chang;Derek Wong;Eric James Stephen Newton;Eric Newton;Hala Hawatmeh;Jasmine Lai;Jerry Jim;Jerry Yick Jim;Kevin Chan;Kevin Chin-Wei Chan;Leon Lui;Mariana Paspuel Paredes;Mariana Yanaina Paspuel Paredes;Svetlana Sodol,191,80.141361257,12.071973468,100.0,45.0,8,1,5,7,4,15,15,15,31,54,36
UBCV,2020,W,WRDS,150,A,181,Writing and Research in the Disciplines,Kevin Chan;Thomas Andrews,29,69.413793103,9.092843502,83.0,44.0,1,1,1,3,6,4,6,1,6,0,0
UBCV,2020,W,WRDS,150,A,313,Writing and Research in the Disciplines,Kevin Chan;Krista Sigurdson,25,77.2,8.149642119,87.0,62.0,0,0,0,2,3,1,1,6,6,6,0
UBCV,2020,W,WRDS,150,A,451,Writing and Research in the Disciplines,Kevin Chan;Meredith Beales,22,59.909090909,24.346524326,87.0,6.0,6,1,1,1,2,2,2,2,3,2,0
UBCV,2020,W,WRDS,150,B,655,Writing and Research in the Disciplines,Kevin Chan;Thomas Andrews,29,75.896551724,9.162597992,90.0,56.0,0,0,2,1,2,4,2,6,7,3,2
UBCV,2020,W,WRDS,150,B,681,Writing and Research in the Disciplines,Kevin Chan;Thomas Andrews,29,72.551724138,7.739445379,87.0,57.0,0,0,1,3,3,6,6,5,3,2,0
UBCV,2020,W,WRDS,150,B,742,Writing and Research in the Disciplines,Kevin Chan;Meredith Beales,27,71.222222222,16.754639618,85.0,17.0,3,1,0,1,3,0,2,6,9,2,0
UBCV,2020,W,WRDS,150,B,835,Writing and Research in the Disciplines,Kevin Chan;Krista Sigurdson,27,72.037037037,15.890203759,87.0,0.0,1,0,0,2,2,3,4,8,5,2,0
UBCV,2021,S,WRDS,150,A,004,Writing and Research in the Disciplines,Andrew Connolly;Kevin Chan,30,58.966666667,20.493032177,81.0,0.0,5,2,3,6,1,6,2,2,3,0,0
UBCV,2021,S,WRDS,150,A,005,Writing and Research in the Disciplines,Andrew Connolly;Kevin Chan,28,57.785714286,12.26665804,76.0,30.0,5,4,2,4,7,4,1,1,0,0,0
UBCV,2021,S,WRDS,150,B,512,Writing and Research in the Disciplines,Kevin Chan;Laura Knijnik Baumvol,28,76.714285714,12.724596022,90.0,31.0,2,0,0,0,0,1,1,10,12,0,2
UBCV,2021,S,WRDS,150,B,523,Writing and Research in the Disciplines,Kevin Chan;Meredith Beales,20,79.15,5.343712488,89.0,71.0,0,0,0,0,0,1,5,6,4,4,0
