Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,GERM,100,,002,BEGIN GERM I,"Coordinator;Jones, Lydia;Struch, Gela",30,81.37,8.78,92,55,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,8,6,6
UBC,2010,W,GERM,100,,003,BEGIN GERM I,"Coordinator;Klibadze, Dali;Struch, Gela",30,83.3,13.35,96,45,29,1,0,0,0,0,0,0,0,1,1,2,0,0,0,2,2,0,4,5,14
UBC,2010,W,GERM,100,,009,BEGIN GERM I,"Coordinator;Struch, Gela;Svanidze, Tamara",28,81.33,14.55,96,31,26,1,1,0,0,0,0,0,1,0,1,0,0,1,2,0,5,0,4,5,9
UBC,2010,W,GERM,100,,010,BEGIN GERM I,"Coordinator;Grunburg, Michael ;Struch, Gela",19,74.74,11.14,89,55,19,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,2,4,4,0
UBC,2010,W,GERM,100,,011,BEGIN GERM I,"Coordinator;Sanders, Travis;Struch, Gela",23,79.82,18,97,14,21,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,5,3,8
UBC,2010,W,GERM,100,,012,BEGIN GERM I,"Coordinator;Klibadze, Dali;Struch, Gela",28,80.55,13.14,95,43,21,1,3,0,0,0,0,0,0,1,1,1,0,0,1,1,0,3,4,6,5
UBC,2010,W,GERM,100,,013,BEGIN GERM I,"Coordinator;Revell, Stephanie;Struch, Gela",28,76.11,11.7,96,51,27,0,1,0,0,0,0,0,0,0,0,2,1,2,0,3,1,7,4,5,2
UBC,2010,W,GERM,110,,001,BEGIN GERM 2,"Coordinator;Redlich, Jeremy;Struch, Gela",19,83.67,10.54,97,63,18,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,6,6
UBC,2010,W,GERM,110,,002,BEGIN GERM 2,"Coordinator;Jones, Lydia;Struch, Gela",28,78.37,11.29,96,57,27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,1,2,2,7,4,5
UBC,2010,W,GERM,110,,009,BEGIN GERM 2,"Coordinator;Struch, Gela;Svanidze, Tamara",23,82.52,10.16,94,60,21,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,5,0,8,4
