Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,FNH,250,,003,Nutrition Concepts and Controversies,Bruna Donatti Castro Falci,142,81.6,96.0,0.0,4,1,2,2,4,4,7,15,28,44,31,85.0,89.0,79.0
UBCV,2022,W,FNH,351,,001,"Vitamins, Minerals, and Health",Bruna Donatti Castro Falci,90,77.8,93.0,53.0,0,2,5,2,2,5,19,12,17,15,11,78.5,85.0,73.0
UBCV,2022,W,FNH,375,,201,Nutrition Care I,Bruna Donatti Castro Falci,35,84.1,95.0,72.0,0,0,0,0,0,0,4,3,7,16,5,85.0,88.0,80.5
UBCV,2022,W,FNH,470,,001,Nutrition Care II,Bruna Donatti Castro Falci,36,84.8,96.0,73.0,0,0,0,0,0,0,1,4,8,19,4,85.0,88.0,81.0
UBCV,2022,W,FNH,475,,001,Nutrition Care III,Bruna Donatti Castro Falci,36,84.5,96.0,74.0,0,0,0,0,0,0,2,3,10,17,4,85.0,87.0,82.8
UBCV,2022,W,HUNU,550,,001,Advances in Human Nutrition,Bruna Donatti Castro Falci,12,89.2,97.0,80.0,0,0,0,0,0,0,0,0,2,5,5,89.0,92.3,85.8
UBCV,2022,W,HUNU,575,,001,Nutrition Care I,Bruna Donatti Castro Falci,10,84.7,95.0,51.0,1,0,0,0,0,0,0,0,1,5,3,87.5,89.8,85.0
UBCV,2023,W,FNH,470,,001,Nutrition Care II,Bruna Donatti Castro Falci,34,80.2,91.0,65.0,0,0,0,0,2,3,3,7,8,8,3,81.0,86.0,76.0
UBCV,2023,W,HUNU,550,,001,Advances in Human Nutrition,Bruna Donatti Castro Falci,12,88.17,96.0,72.0,0,0,0,0,0,0,1,1,1,2,7,90.5,93.25,85.25
UBCV,2023,W,HUNU,576,,001,Nutrition Care II,Bruna Donatti Castro Falci,10,82.7,90.0,77.0,0,0,0,0,0,0,0,3,3,3,1,82.5,86.0,77.75
