Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2021,W,DSCI,552,,001,Statistical Inference and Computation I,Le Quan Nguyen;Gilberto Alexi Rodríguez Arelis,150,92.5,100.0,67.0,,,,,,,,,,22,121,93.5,96.0,91.0
UBCV,2021,W,DSCI,553,,001,Statistical Inference and Computation II,Gilberto Alexi Rodríguez Arelis,114,96.6,100.0,79.0,,,,,,,,,,,108,98.0,99.0,95.0
UBCV,2021,W,DSCI,554,,001,Experimentation and Causal Inference,Daniel Chen;Gilberto Alexi Rodríguez Arelis,114,95.0,100.0,82.0,,,,,,,,,,6,105,96.0,98.0,93.0
UBCV,2021,W,DSCI,561,,001,Regression I,Gabriela Cohen Freue;Gilberto Alexi Rodríguez Arelis,151,94.2,100.0,67.0,,,,,,,,,,19,128,96.0,97.0,92.0
UBCV,2021,W,DSCI,562,,001,Regression II,Gilberto Alexi Rodríguez Arelis,114,95.9,100.0,72.0,,,,,,,,,,,110,97.0,99.0,94.0
UBCV,2021,W,DSCI,591,,001,Capstone Project,Giuseppe Carenini;Daniel Chen;Maria Florencia D' Andrea;Gittu George;Simon Goring;Varada Kolhatkar;Le Quan Nguyen;Joel Ostblom;Gilberto Alexi Rodríguez Arelis;Arman Seyed-Ahmadi;Tiffany Timbers,114,89.3,93.0,69.0,,,,,,,,,,39,68,90.0,91.0,88.0
UBCV,2021,W,SCIE,300,,112,Communicating Science,Richard Kil;Rachel Lobay;Gilberto Alexi Rodríguez Arelis,19,84.5,91.0,71.0,,,,,,,,,,11,,86.0,87.0,83.5
UBCV,2022,W,DSCI,551,,001,Descriptive Statistics and Probability for Data Science,Gilberto Alexi Rodríguez Arelis,116,91.0,100.0,67.0,0,0,0,0,2,0,1,3,9,21,80,92.0,96.0,88.0
UBCV,2022,W,DSCI,552,,001,Statistical Inference and Computation I,Gilberto Alexi Rodríguez Arelis,113,87.8,99.0,66.0,0,0,0,0,3,2,2,5,14,36,51,89.0,93.0,85.0
UBCV,2022,W,DSCI,553,,001,Statistical Inference and Computation II,Gilberto Alexi Rodríguez Arelis,78,88.7,99.0,67.0,0,0,0,0,1,1,0,2,18,16,40,90.0,93.8,83.3
UBCV,2022,W,DSCI,554,,001,Experimentation and Causal Inference,Gilberto Alexi Rodríguez Arelis,78,87.0,99.0,66.0,0,0,0,0,1,1,4,6,12,22,32,88.0,92.0,83.3
UBCV,2022,W,DSCI,562,,001,Regression II,Gilberto Alexi Rodríguez Arelis,78,90.2,98.0,67.0,0,0,0,0,1,0,1,2,10,16,48,91.5,95.0,87.3
UBCV,2022,W,DSCI,591,,001,Capstone Project,Tomas Beuzen;Daniel Chen;Maria Florencia D' Andrea;Yulia Egorova;Gittu George;Simon Goring;Varada Kolhatkar;Rodolfo Lourenzutti;Le Quan Nguyen;Joel Ostblom;Gilberto Alexi Rodríguez Arelis,78,89.2,96.0,52.0,1,0,0,0,0,1,1,0,9,17,49,91.0,93.0,88.0
UBCV,2022,W,SCIE,300,,112,Communicating Science,Richard Kil;Gilberto Alexi Rodríguez Arelis,18,84.6,91.0,68.0,0,0,0,0,0,1,1,0,6,5,5,86.0,89.8,82.3
UBCV,2023,W,DSCI,551,,001,Descriptive Statistics and Probability for Data Science,Katie Burak;Gilberto Alexi Rodríguez Arelis,125,90.6,100.0,66.0,0,0,0,0,2,1,1,6,8,27,79,92.0,95.0,87.0
UBCV,2023,W,DSCI,553,,001,Statistical Inference and Computation II,Gilberto Alexi Rodríguez Arelis,88,89.2,98.0,76.0,0,0,0,0,0,0,0,6,8,23,51,90.0,93.0,86.0
UBCV,2023,W,DSCI,554,,001,Experimentation and Causal Inference,Gilberto Alexi Rodríguez Arelis,88,89.6,98.0,74.0,0,0,0,0,0,0,1,3,12,20,52,91.0,93.0,87.0
UBCV,2023,W,DSCI,562,,001,Regression II,Gilberto Alexi Rodríguez Arelis,88,88.1,98.0,72.0,0,0,0,0,0,0,1,6,13,36,32,88.0,92.0,85.0
UBCV,2023,W,DSCI,591,,001,Capstone Project,Katie Burak;Giuseppe Carenini;Daniel Chen;Gittu George;Simon Goring;Varada Kolhatkar;Vincent Liu;Le Quan Nguyen;Joel Ostblom;Gilberto Alexi Rodríguez Arelis;Tiffany Timbers,89,89.3,93.0,82.0,0,0,0,0,0,0,0,0,11,31,47,90.0,92.0,87.0
