Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2019,W,ENGL,112,,017,Studies in Composition,Emily Mcgiffin,30,78.0,15.523064042,91.0,16.0,2,0,0,0,2,1,3,3,7,5,7
UBCO,2019,W,ENGL,112,,122,Studies in Composition,Emily Mcgiffin,27,73.407407407,11.51674119,97.0,43.0,1,1,1,0,4,1,4,6,6,1,2
UBCO,2019,W,ENGL,112,,123,Studies in Composition,Emily Mcgiffin,28,74.857142857,11.190982765,92.0,44.0,1,1,1,1,2,1,3,6,8,2,2
UBCO,2019,W,ENGL,153,,103,Readings in Narrative,Emily Mcgiffin,31,71.612903226,22.388505115,95.0,0.0,3,0,1,1,2,3,3,3,5,5,5
UBCO,2019,W,IGS,524,B,001,Proseminar in Interdisciplinary Studies,Emily Mcgiffin,22,90.863636364,2.623981971,96.0,87.0,0,0,0,0,0,0,0,0,0,7,15
UBCO,2019,W,IGS,584,,001,Sustainability Theme Seminar,Emily Mcgiffin;Greg Garrard,9,87.444444444,4.558264777,92.0,78.0,0,0,0,0,0,0,0,1,2,3,3
UBCO,2020,W,ENGL,153,,002,Readings in Narrative,Emily Mcgiffin;Eva Kasprzycka,31,69.709677419,13.274520828,87.0,30.0,3,1,1,0,2,6,6,5,4,3,0
UBCO,2020,W,ENGL,153,,003,Readings in Narrative,Emily Mcgiffin;Eva Kasprzycka,34,73.411764706,12.56285445,87.0,29.0,1,1,2,2,2,2,6,5,6,7,0
UBCO,2020,W,ENGL,156,,001,Environmental Literature,Emily Mcgiffin;Eva Kasprzycka,32,72.21875,9.397097613,95.0,51.0,0,1,2,2,2,6,9,3,4,2,1
UBCO,2020,W,ENGL,297,,101,Reading Animals,Emily Mcgiffin;Greg Garrard,30,73.733333333,19.615147794,94.0,3.0,2,0,3,0,3,1,4,5,1,4,7
UBCO,2020,W,IGS,584,,001,Sustainability Theme Seminar,Emily Mcgiffin;Greg Garrard,9,87.111111111,6.622772162,92.0,76.0,0,0,0,0,0,0,0,2,0,2,5
UBCO,2021,W,ENGL,112,,010,Studies in Composition,Claire Halston;Emily Mcgiffin,22,83.181818182,10.477351372,94.0,48.0,1,0,0,0,0,1,3,1,3,7,6
UBCO,2021,W,ENGL,112,,013,Studies in Composition,Claire Halston;Emily Mcgiffin,22,79.090909091,9.729234742,91.0,58.0,0,0,2,1,1,0,0,2,9,5,2
UBCO,2021,W,ENGL,112,,117,Studies in Composition,Claire Halston;Emily Mcgiffin,25,76.72,17.598579488,94.0,0.0,1,0,1,0,0,1,2,5,9,5,1
UBCO,2021,W,ENGL,112,,119,Studies in Composition,Claire Halston;Emily Mcgiffin,24,79.541666667,6.788604049,88.0,54.0,0,1,0,0,0,0,4,4,12,3,0
