Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,PHTH,524,,001,Clinical Practice II,David Anekwe;Amy Ellis;Mary Fedorkiw;Roland Fletcher;Alison Greig;Simone Gruenig;Taru Manyanga;Patricia McIlwaine;Lorelyn Meisner;Malgonata Mikszan;Tolulope Olatunbosun;Andrea Reid;Melissa Richmond;Chiara Singh;Jacqueline Whittaker;Caitlin Williams,117,84.6,94.0,75.0,0,0,0,0,0,0,1,10,46,48,12,85.0,87.0,82.0
UBCV,2022,W,PHTH,526,,001,Clinical Decision Making II,David Anekwe;Lisette Cheng;Edmund Chow;Roland Fletcher;Alison Greig;Wendy Marchlewitz;Abiola Ogundele;Amy Schneeberg;Alexander Scott;Marie Deanna Westby;Caitlin Williams,118,94.8,100.0,77.0,0,0,0,0,0,0,0,3,0,8,107,96.0,97.0,94.0
UBCV,2022,W,RHSC,420,,002,Elements of Neuroanatomy and Neurophysiology,David Anekwe;Alina Constantin;Roland Fletcher;Alison Greig;Michael Lee;Hakima Moukhles;Courtney Pollock;Julia Schmidt;Caitlin Williams,117,85.1,97.0,68.0,0,0,0,0,0,3,3,10,36,42,23,85.0,89.0,82.0
UBCV,2023,S,PHTH,564,,922,Clinical Practice VIa,David Anekwe;Kristin Campbell;Jean Cremin;Amy Ellis;Roland Fletcher;Natalie Grant;Simone Gruenig;Rosalyn Jones;Carolyn Kennedy;Catherine le Cornu Levett;Jill Longhurst;Jacqueline Whittaker;Caitlin Williams;Angelina Woof,98,88.44,94.0,81.0,0,0,0,0,0,0,0,0,7,51,40,89.0,91.0,86.0
UBCV,2023,W,ANAT,392,,001,Gross Anatomy of the Limbs and Trunk,Majid Alimohammadi;David Anekwe;Roland Fletcher;Natalie Grant;Alison Greig;Kenneth Liu;Caitlin Williams;Julia Wimmers Klick,122,84.57,99.0,68.0,0,0,0,0,0,4,7,17,28,38,27,85.0,89.0,80.0
UBCV,2023,W,PHTH,511,,001,Pathology for Physical Therapy I,David Anekwe;Roland Fletcher;Natalie Grant;Alison Greig;Alexander Scott;Caitlin Williams,121,89.22,97.0,79.0,0,0,0,0,0,0,0,3,13,49,55,89.0,92.0,87.0
UBCV,2023,W,PHTH,514,,001,Clinical Practice I,David Anekwe;Patricia Camp;Kristin Campbell;Roland Fletcher;Natalie Grant;Alison Greig;Simone Gruenig;Taru Manyanga;Pamela Parker;Robin Roots;Chiara Singh;Aart van Gorkum;Caitlin Williams,122,83.64,94.0,66.0,0,0,0,0,1,0,5,15,50,36,14,83.0,87.0,81.0
UBCV,2023,W,PHTH,516,,001,Clinical Decision-Making I,David Anekwe;Roland Fletcher;Natalie Grant;Alison Greig;Janet Lundie;Robin Roots;Caitlin Williams,121,94.54,100.0,87.0,0,0,0,0,0,0,0,0,0,6,114,95.0,96.0,93.0
UBCV,2023,W,PHTH,517,,001,Exercise and Movement I,David Anekwe;Kristin Campbell;Janice Eng;Roland Fletcher;Natalie Grant;Alison Greig;Michael Anthony Hunt;Taru Manyanga;Kiersten McMaster;Courtney Pollock;Caitlin Williams;Angelina Woof,122,88.02,97.0,66.0,0,0,0,0,2,2,0,2,22,34,59,89.0,92.0,85.0
UBCV,2023,W,PHTH,521,,001,Pathology for Physical Therapy II,David Anekwe;Lara Boyd;Roland Fletcher;Natalie Grant;Alison Greig;Simone Gruenig;Caitlin Williams,120,92.72,99.0,82.0,0,0,0,0,0,0,0,0,2,13,105,93.0,95.0,91.0
