Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",19,72.63,17.98,83,0,18,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,7,3,6,0,0
UBC,2005,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",23,75.09,17.54,90,0,22,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,7,6,3,1
UBC,2006,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",26,80.23,6.43,90,69,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,6,2
UBC,2006,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",25,79.84,5.06,90,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,13,1,1
UBC,2007,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",20,80.25,4.63,88,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,4,0
UBC,2007,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",23,77.36,6.84,87,58,22,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,3,9,2,0
UBC,2009,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",17,80.88,6.75,93,62,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,2,2
UBC,2009,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",18,77,3.96,84,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,4,0,0
UBC,2010,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",17,81.53,7.62,90,59,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,5,2
UBC,2010,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",9,78,5.22,83,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,0
UBC,2011,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",14,78,7.95,90,67,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,5,2,1
UBC,2011,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",20,77.42,7.16,93,66,19,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,6,3,4,2,1
