Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,DENT,584,,001,ENDO LIT REV II,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,89,6.16,98,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2015,W,DENT,592,,001,ENDO CASE MAN II,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,78,3.92,82,73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
UBC,2015,W,DENT,595,,001,ENDO TRT PLAN II,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,80.5,6.61,88,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
UBC,2015,W,DENT,596,,001,ENDO TRT PLN III,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,88.75,2.5,90,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2016,W,DENT,596,,001,ENDO TRT PLN III,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,88,3.56,92,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2017,W,DENT,578,,001,ENDO LIT REV I,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,86.75,13.05,97,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
UBC,2017,W,DENT,584,,001,ENDO LIT REV II,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,93.25,2.5,96,90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UBC,2017,W,DENT,591,,001,ENDO CASE MAN I,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,79.75,4.92,84,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
UBC,2017,W,DENT,592,,001,ENDO CASE MAN II,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,93,4.4,98,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2017,W,DENT,594,,001,ENDO TRT PLAN I,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,81.25,2.5,85,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
UBC,2017,W,DENT,595,,001,ENDO TRT PLAN II,"Coil, Jeffrey Martin;Haapasalo, Markus;Shen, Ya",4,91.25,2.5,95,90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
