Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,SPAN,102,,002,Beginners' Spanish II,Mercedes Duran;Monica Carolina Good;Monica Good,61,77.78688525,12.72283348,99.0,48.0,,,6,,,,6,,10,11,11
UBCO,2014,W,SPAN,102,,004,Beginners' Spanish II,Mercedes Duran;Monica Carolina Good;Monica Good,24,76.5,13.20408369,100.0,46.0,,,,,,,,,7,,3
UBCO,2015,W,SPAN,101,,004,Beginners' Spanish I,Diana Carter;Monica Carolina Good;Monica Good,58,77.051724138,21.088304245,100.0,7.0,7,,,,,,7,,7,,23
UBCO,2015,W,SPAN,101,,006,Beginners' Spanish I,Mercedes Duran;Monica Carolina Good;Monica Good,57,73.596491228,14.060912957,95.0,38.0,,5,6,,,7,,,9,7,8
UBCO,2015,W,SPAN,102,,002,Beginners' Spanish II,Diana Carter;Monica Carolina Good;Monica Good,50,77.1,20.351252281,98.0,7.0,,,,,,,6,,,5,19
UBCO,2015,W,SPAN,102,,004,Beginners' Spanish II,Mercedes Duran;Monica Carolina Good;Monica Good,34,77.617647059,19.004010272,97.0,25.0,,,,,,,,,,5,11
UBCO,2016,W,SPAN,201,,001,Intermediate Spanish I,Diana Carter;Monica Carolina Good;Monica Good,38,70.44736842,17.68293936,100.0,23.0,4,3,3,4,2,2,5,3,3,1,8
UBCO,2016,W,SPAN,201,,003,Intermediate Spanish I,Cristina Senn;Monica Carolina Good;Monica Good,28,77.03571429,15.89894509,98.0,26.0,1,0,1,3,2,1,3,4,3,2,8
UBCO,2016,W,SPAN,202,,002,Intermediate Spanish II,Cristina Senn;Monica Carolina Good;Monica Good,39,77.64102564,15.60615125,100.0,50.0,0,3,2,4,2,1,6,0,6,3,12
UBCO,2017,W,SPAN,201,,001,Intermediate Spanish I,Diana Carter;Monica Carolina Good;Monica Good,38,75.236842105,17.8680361,98.0,9.0,2,2,1,2,3,2,4,5,5,3,9
UBCO,2017,W,SPAN,201,,002,Intermediate Spanish I,Diana Carter;Monica Carolina Good;Monica Good,40,77.675,12.888849285,100.0,51.0,0,3,0,3,3,4,3,5,6,5,8
UBCO,2017,W,SPAN,202,,003,Intermediate Spanish II,Cristina Senn;Monica Carolina Good;Monica Good,39,81.461538462,13.64174351,100.0,28.0,1,1,0,1,0,3,2,3,9,9,10
