Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2022,W,HINT,110,,001,Applied Research in Health,Nicole de Bosch Kemper;Karin Olson;Nicola Waters,159,83.5,97.0,56.0,0,0,1,1,2,3,18,20,31,49,34,86.0,89.0,79.0
UBCO,2022,W,NRSG,101,,001,Nursing Lab Practice I,Jenna Kathryn Baker;Kelsey Caston;Rishma Chooniedass;Leah Dawe;Nicole de Bosch Kemper;Colleen Dumanoir;Michelle Earl;Brandy Hagel;Danielle Heisler;Kali Alise Holton;Brenda Huber;Asia Maria Jackson;Amielya Keast;Lisa June Kelly;Laura Mercer;Diana Monk;Jennifer Ida Nowoselski;Michelle Scranton;Amanda Tregilges;Meredith Turner;Louise Vanderhoek;Melanie Willson,29,84.3,95.0,68.0,0,0,0,0,0,2,0,3,8,12,4,85.0,89.0,81.0
UBCO,2022,W,NRSG,101,,002,Nursing Lab Practice I,Jenna Kathryn Baker;Leah Dawe;Nicole de Bosch Kemper;Brenda Huber;Amielya Keast;Amanda Tregilges,42,86.1,95.0,69.0,0,0,0,0,0,2,1,0,9,18,12,87.0,90.0,83.3
UBCO,2022,W,NRSG,101,,003,Nursing Lab Practice I,Jenna Kathryn Baker;Leah Dawe;Nicole de Bosch Kemper;Brenda Huber;Amielya Keast;Amanda Tregilges,39,87.2,95.0,75.0,0,0,0,0,0,0,1,2,6,16,14,89.0,90.5,85.0
UBCO,2022,W,NRSG,101,,004,Nursing Lab Practice I,Jenna Kathryn Baker;Leah Dawe;Nicole de Bosch Kemper;Brenda Huber;Amielya Keast;Amanda Tregilges,38,87.8,95.0,76.0,0,0,0,0,0,0,0,2,8,14,14,88.0,91.0,84.3
UBCO,2022,W,NRSG,111,,001,Foundations of Health,Sandra Christine Balfour;Nicole de Bosch Kemper;Laura Mercer,69,84.7,96.0,66.0,0,0,0,0,1,3,5,8,13,16,23,85.0,90.0,80.0
UBCO,2022,W,NRSG,111,,002,Foundations of Health,Sandra Christine Balfour;Nicole de Bosch Kemper;Laura Mercer,76,87.3,95.0,72.0,0,0,0,0,0,0,4,1,13,29,29,88.0,91.3,85.0
UBCO,2022,W,NRSG,112,,001,Introduction to the Profession of Nursing I,Nicole de Bosch Kemper,74,82.9,96.0,60.0,0,0,0,3,2,0,11,5,14,24,15,85.0,89.0,77.0
UBCO,2022,W,NRSG,112,,002,Introduction to the Profession of Nursing I,Nicole de Bosch Kemper,71,83.5,94.0,67.0,0,0,0,0,1,4,4,10,12,28,12,85.0,88.0,79.0
UBCO,2022,W,NRSG,120,,001,Introduction to Nursing Research,Rishma Chooniedass;Nicole de Bosch Kemper,81,89.4,98.0,71.0,0,0,0,0,0,2,1,2,6,25,45,90.0,93.0,86.0
UBCO,2022,W,NRSG,120,,002,Introduction to Nursing Research,Rishma Chooniedass;Nicole de Bosch Kemper,70,89.2,98.0,71.0,0,0,0,0,0,1,4,1,5,18,41,90.0,93.8,86.3
UBCO,2022,W,NRSG,122,,001,Introduction to the Profession of Nursing II,Sarah Camacho;Nicole de Bosch Kemper,75,88.1,96.0,75.0,0,0,0,0,0,0,1,0,14,31,29,89.0,91.0,86.0
UBCO,2022,W,NRSG,122,,002,Introduction to the Profession of Nursing II,Sarah Camacho;Nicole de Bosch Kemper,69,88.4,96.0,75.0,0,0,0,0,0,0,1,3,11,19,35,90.0,91.0,86.0
UBCO,2022,W,NRSG,126,,001,Health & Healing I,Kelsey Caston;Rishma Chooniedass;Nicole de Bosch Kemper;Colleen Dumanoir;Michelle Earl;Brandy Hagel;Danielle Heisler;Kali Alise Holton;Brenda Huber;Asia Maria Jackson;Amielya Keast;Lisa June Kelly;Laura Mercer;Diana Monk;Jennifer Ida Nowoselski;Amanda Tregilges;Meredith Turner;Louise Vanderhoek,72,79.4,93.0,57.0,2,0,0,0,4,5,11,9,21,16,4,81.0,85.3,74.8
UBCO,2022,W,NRSG,126,,002,Health & Healing I,Kelsey Caston;Nicole de Bosch Kemper;Colleen Dumanoir;Michelle Earl;Brandy Hagel;Danielle Heisler;Kali Alise Holton;Asia Maria Jackson;Lisa June Kelly;Laura Mercer;Diana Monk;Jennifer Ida Nowoselski;Meredith Turner;Louise Vanderhoek,76,82.1,96.0,59.0,2,0,0,0,2,4,9,10,14,17,18,83.0,88.3,76.0
UBCO,2022,W,NRSG,140,,001,L.P.N. Access to B.S.N.,Nicole de Bosch Kemper,9,86.2,96.0,70.0,0,0,0,0,0,1,0,1,1,3,3,89.0,92.0,83.0
UBCO,2022,W,NRSG,329,,001,Child Health,Nicole de Bosch Kemper;Maggie Weninger;Melanie Willson,41,84.7,93.0,74.0,0,0,0,0,0,0,1,7,10,19,4,85.0,88.0,83.0
UBCO,2022,W,NRSG,329,,002,Child Health,Nicole de Bosch Kemper;Maggie Weninger;Melanie Willson,36,85.7,93.0,76.0,0,0,0,0,0,0,0,5,6,16,9,86.0,89.3,83.0
UBCO,2022,W,NRSG,329,,101,Child Health,Sarah Camacho;Nicole de Bosch Kemper;Jessica Lewis;Maggie Weninger;Melanie Willson,41,86.6,93.0,70.0,0,0,0,0,0,1,0,1,6,23,10,87.0,89.0,85.0
UBCO,2022,W,NRSG,329,,102,Child Health,Sarah Camacho;Nicole de Bosch Kemper;Jessica Lewis;Maggie Weninger;Melanie Willson,40,88.6,95.0,79.0,0,0,0,0,0,0,0,1,6,15,18,89.0,91.3,86.8
UBCO,2023,S,NRSG,329,,001,Child Health,Taylor Browne;Sarah Camacho;Nicole de Bosch Kemper;Jessica Lewis;Maggie Weninger,56,87.71,95.0,80.0,0,0,0,0,0,0,0,0,8,34,14,88.0,89.25,85.75
UBCO,2023,W,HINT,320,,001,Global Health,Sarah Camacho;Rishma Chooniedass;Nicole de Bosch Kemper;Lisa Moralejo;Ryan Wilson,40,86.48,97.0,68.0,0,0,0,0,0,1,0,2,10,18,9,87.0,89.0,84.0
UBCO,2023,W,HINT,320,,002,Global Health,Sarah Camacho;Rishma Chooniedass;Nicole de Bosch Kemper;Lisa Moralejo;Ryan Wilson,41,86.98,97.0,76.0,0,0,0,0,0,0,0,4,10,14,13,87.0,91.0,83.0
UBCO,2023,W,HINT,320,,003,Global Health,Sarah Camacho;Nicole de Bosch Kemper;Ryan Wilson,76,88.49,97.0,70.0,0,0,0,0,0,1,1,3,11,21,39,90.0,93.0,85.0
UBCO,2023,W,NRSG,328,,001,Health of the Childbearing Family,Taylor Browne;Sarah Camacho;Nicole de Bosch Kemper;Jessica Lewis;Kara Malcolm;Lindsay Newson;Carolyn Pilsner;Cathrine Robinson;Morgan Straza,53,86.0,94.0,77.0,0,0,0,0,0,0,0,8,11,17,17,86.0,90.0,83.0
UBCO,2023,W,NRSG,329,,001,Child Health,Taylor Browne;Sarah Camacho;Nicole de Bosch Kemper;Jessica Lewis;Kara Malcolm;Carolyn Pilsner;Cathrine Robinson;Morgan Straza,64,87.52,93.0,72.0,0,0,0,0,0,0,1,0,7,36,20,88.0,90.0,86.0
