Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,COMM,203,,202,Managing the Employment Relationship,Joyce Li;Michael Daniels;Serinda Kong;Stefanus Soegiarto;Stefanus Vicky Soegiarto;Tze Wah Li,65,80.046153846,7.624858132,93.0,49.0,,,,,,,3,12,20,20,
UBCV,2015,W,COMM,203,,203,Managing the Employment Relationship,Joyce Li;Michael Daniels;Serinda Kong;Stefanus Soegiarto;Stefanus Vicky Soegiarto;Tze Wah Li,66,78.984848485,7.117675559,90.0,49.0,,,,,,,6,11,23,16,
UBCV,2016,S,COMM,203,,921,Managing the Employment Relationship,Eli Chan;Karin Kirkpatrick;Mahesh Nandwani;Serinda Kong,56,78.51785714,5.6536105,91.0,62.0,0,0,0,1,1,5,9,11,23,5,1
UBCV,2016,S,COMM,203,,922,Managing the Employment Relationship,Eli Chan;Perdip Atwal;Serinda Kong,113,76.92035398,6.697736282,90.0,49.0,1,0,0,0,6,21,18,23,32,11,1
UBCV,2017,W,COMM,203,,102,Managing the Employment Relationship,Alexander Payandeh;Serinda Kong;Thomas Knight,64,73.328125,9.812616899,86.0,25.0,2,0,3,2,2,15,7,17,11,5,0
UBCV,2017,W,COMM,203,,103,Managing the Employment Relationship,Alexander Payandeh;Serinda Kong;Thomas Knight,65,75.615384615,7.140755185,86.0,46.0,1,0,1,0,5,7,16,9,21,5,0
UBCV,2017,W,COMM,203,,201,Managing the Employment Relationship,Julyna Jadulang;Serinda Kong;Thomas Knight,60,73.066666667,8.225356963,88.0,49.0,3,0,0,2,6,12,12,11,11,3,0
UBCV,2017,W,COMM,203,,202,Managing the Employment Relationship,Julyna Jadulang;Serinda Kong;Thomas Knight,56,75.25,5.825492566,88.0,60.0,0,0,0,3,3,8,12,15,13,2,0
